"","Age_group","Gender","Institute_type","Internet_access","Device","Miss_classes","Platforms","Hours_of_classes","Class_duration","Breaks","Screen_time","Support","Support_type","Attendance","Attendance_relative","Attendance_reason","Participation","Patricipation_screen","Patricipation_teacher_camera_off","Patricipation_camera_off","Participation_login","Participation_distractions","Participation_bored","Participation_class_time","Participation_material","Participation_glitches","Participation_open_book","Participation_teachers","Participation_teacher_encouragement","Participation_exhausted","Help_needed","Feeling","Connection","Routine","Look_forward_to","Miss_classmates","Burden","Enjoyment","Progress","Stress_frustration","Open_book_interest","Social_media","Social_media_forward","Mood"
"11","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","More than 5 hours","More than 1.5 hours","Yes","8 to 10 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","70-89%","Little Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Disagree","Disagree","Disagree","Strongly agree","Agree",3,3,3,2,2,1,"Tired of phone and computer"
"12","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Google Meet","More than 5 hours","Less than 45 mins","No","More than 12 hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Almost the Same","It has not decreased, Your attendance is low for those classes that are very early in the morning, I do not have adequate resources - Devices and connectivity to attend","Listening Attentively in classes and taking notes","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Training on how to attend classes online more effectively, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Study goes on even after classes","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree",2,3,4,2,2,2,"Tired of phone and computer"
"13","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","50-69%","Little More","Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Giving Online tests-assignments and exams","Relieved","Agree","Agree","Strongly disagree","Strongly agree","Neither agree nor disagree",1,3,3,1,2,1,"Overworked"
"14","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","You do not enjoy participating in online classes, Lack of proper online learning resources, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Overwhelmed","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree",5,2,2,5,1,2,"Overworked"
"15","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom, Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","No","8 to 10 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Much More","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Relieved","Neither agree nor disagree","Strongly disagree","Disagree","Agree","Strongly agree",5,2,3,4,3,3,"Tired of phone and computer"
"16","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Relieved","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Agree",3,3,2,3,2,1,"Tired of phone and computer"
"17","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","4 hours","More than 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Tired","Disagree","Disagree","Disagree","Agree","Agree",2,2,4,4,4,2,"Tired of phone and computer"
"18","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","More than 12 hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, You do not enjoy participating in online classes","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Disagree","Disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",4,3,5,5,1,1,"Nostalgic"
"19","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, You do not enjoy participating in online classes","Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined","Relieved","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree",3,3,4,3,2,1,"Frustrated"
"20","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Yes","One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, Technological glitches with platform/internet","Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Relieved","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree",3,2,3,3,2,1,"Indifferent"
"21","Post Graduate Students","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","Yes but only Sometimes","Microsoft Teams","More than 5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree",2,2,3,5,3,1,"Tired of phone and computer"
"22","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Partially Govt Aided","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Zoom, Microsoft Teams","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","6 to 8 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Agree","Strongly disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",3,3,5,1,1,1,"Nostalgic"
"23","Secondary / Senior Secondary Students (aged 14-18 yrs)","Male","Privately Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Not at all","none","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Strongly disagree","Disagree","Disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Agree","Pursuing my personal projects/research interests","Study goes on even after classes","Disagree","Disagree","Disagree","Agree","Agree",3,2,5,5,3,2,"Depressed"
"24","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Microsoft Teams","5 hours","Between 1 hour - 1.5 hours","Yes","More than 12 hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","30-49%","Little Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Study goes on even after classes","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",5,2,5,5,2,1,"Anxious"
"25","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Mobile Phone","No","Microsoft Teams, Google Meet","4 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Not at all","Presentations, Videos, Links to Educational Material","less than 30%","Little More","Your attendance is low for those classes that are very early in the morning","Just joining the class and not paying attention purpose is to get attendance marked","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Training on how to attend classes online more effectively","Relieved","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",5,3,3,3,3,3,"Crushingly bored"
"26","Very Young Learners (aged 3-6 yrs)","Female","Privately Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Microsoft Teams","2 hours","More than 45 minutes  but less than 1 hour","Yes","4 to 6 Hrs","Not at all","Presentations, Videos, Links to Educational Material","70-89%","Little Lesser","You are exhausted with online learning","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Disagree","Disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree",4,2,5,5,2,2,"Tired of phone and computer"
"27","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","No","6 to 8 Hrs","Yes but insufficient","One to One mentoring Sessions if required, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Little Lesser","Your attendance is low for those classes that are very early in the morning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Presenting my work to the class and teachers during an online session, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Agree","Disagree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree",2,4,3,4,1,1,"Hopeful"
"28","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","Yes","Google Classroom, Google Meet","More than 5 hours","More than 1.5 hours","Yes","More than 12 hrs","Yes but insufficient","EBooks, Presentations, Videos, Links to Educational Material","50-69%","Almost the Same","It has not decreased","Doing and submitting assignments/ projects/ research work assigned in time","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Working on myself as a student - avoiding distractions and being more disciplined","Tired","Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree",3,3,3,3,3,2,"Nostalgic"
"29","Secondary / Senior Secondary Students (aged 14-18 yrs)","Male","Privately Owned","Yes","Laptop/ Desktop","No","Google Classroom","4 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Passively in classes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Tired","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree",4,4,4,5,2,2,"Frustrated"
